37169,37169_NJCL,Aberdeen Matawan
2,2_ATLC,Absecon
3,3_MNBN,Allendale
4,4_NJCL,Allenhurst
5,5_PASC,Anderson Street
6,6_RARV,Annandale
8,8_NJCL,Asbury Park
9,9_ATLC,Atco
10,10_ATLC,Atlantic City
11,11_NJCL,Avenel
12,12_MNE,Basking Ridge
13,13_NJCL,Bay Head
14,14_BNTN,Bay Street
15,15_NJCL,Belmar
17,17_MNE,Berkeley Heights
18,18_MNE,Bernardsville
19,19_BNTN,Bloomfield
20,20_BNTN,Boonton
21,21_RARV,Bound Brook
22,22_NJCL,Bradley Beach
23,23_MNE,Brick Church
24,24_RARV,Bridgewater
25,25_MNBN,Broadway
26,26_MNBN,Campbell Hall
27,27_MNE,Chatham
28,28_ATLC,Cherry Hill
29,29_MNBN,Clifton
30,30_MNE,Convent Station
32,32_RARV,Cranford
33,33_MNBN,Delawanna
34,34_BNTN,Denville
35,35_BNTN,Dover
36,36_RARV,Dunellen
37,37_MNE,East Orange
38,38_NEC,Edison
39,39_ATLC,Egg Harbor City
40,40_NJCL,Elberon
41,41_NEC,Elizabeth
42,42_PASC,Emerson
43,43_PASC,Essex Street
44,44_RARV,Fanwood
45,45_MNE,Far Hills
46,46_MNBN,Garfield
47,47_RARV,Garwood
48,48_MNE,Gillette
49,49_MNE,Gladstone
50,50_BNTN,Glen Ridge
51,51_MNBN,Glen Rock Boro Hall
52,52_MNBN,Glen Rock Main Line
54,54_BNTN,Hackettstown
32905,32905_NEC,Hamilton
55,55_ATLC,Hammonton
57,57_MNBN,Harriman
58,58_MNBN,Hawthorne
59,59_NJCL,Hazlet
60,60_RARV,High Bridge
61,61_MNE,Highland Avenue
62,62_PASC,Hillsdale
64,64_MNBN,Ho-Ho-Kus
63,63_BNTN,Hoboken
32906,32906_NEC,Jersey Avenue
66,66_MNBN,Kingsland
67,67_BNTN,Lake Hopatcong
68,68_RARV,Lebanon
69,69_BNTN,Lincoln Park
70,70_NEC,Linden
71,71_ATLC,Lindenwold
72,72_BNTN,Little Falls
73,73_NJCL,Little Silver
74,74_NJCL,Long Branch
75,75_MNBN,Lyndhurst
76,76_MNE,Lyons
77,77_MNE,Madison
78,78_MNBN,Mahwah
79,79_NJCL,Manasquan
81,81_MNE,Maplewood
40570,40570_SL,Meadowlands Sports Complex
83,83_NEC,Metropark
84,84_NEC,Metuchen
85,85_NJCL,Middletown New Jersey
86,86_MNBN,Middletown New York
87,87_MNE,Millburn
88,88_MNE,Millington
31696,31696_NJCL,Monmouth Park
89,89_BNTN,Montclair Heights
38081,38081_BNTN,Montclair State University
90,90_PASC,Montvale
91,91_MNE,Morris Plains
92,92_MNE,Morristown
39472,39472_BNTN,Mount Arlington
93,93_BNTN,Mount Olive
94,94_MNE,Mount Tabor
95,95_BNTN,Mountain Avenue
96,96_BNTN,Mountain Lakes
97,97_MNE,Mountain Station
98,98_BNTN,Mountain View
99,99_MNE,Murray Hill
100,100_PASC,Nanuet
101,101_BNTN,Netcong
102,102_RARV,Netherwood
110,110_PASC,New Bridge Landing
103,103_NEC,New Brunswick
104,104_MNE,New Providence
105,105_BNTN,New York Penn Station
37953,37953_NEC,Newark Airport
106,106_BNTN,Newark Broad Street
107,107_NEC,Newark Penn Station
108,108_RARV,North Branch
109,109_NEC,North Elizabeth
111,111_PASC,Oradell
112,112_MNE,Orange
113,113_MNBN,Otisville
114,114_PASC,Park Ridge
115,115_MNBN,Passaic
116,116_MNBN,Paterson
117,117_MNE,Peapack
118,118_PASC,Pearl River
119,119_NJCL,Perth Amboy
1,1_ATLC,Philadelphia 30th Street
120,120_RARV,Plainfield
121,121_MNBN,Plauderville
122,122_NJCL,Point Pleasant Beach
123,123_MNBN,Port Jervis
124,124_PRIN,Princeton
125,125_NEC,Princeton Junction
126,126_MNBN,Radburn
127,127_NEC,Rahway
128,128_MNBN,Ramsey
38417,38417_MNBN,Ramsey Route 17
129,129_RARV,Raritan
130,130_NJCL,Red Bank
131,131_MNBN,Ridgewood
132,132_PASC,River Edge
31,31_RARV,Roselle Park
134,134_MNBN,Rutherford
135,135_MNBN,Salisbury Mills Cornwall
38174,38174_BNTN,Secaucus Junction
136,136_MNE,Short Hills
137,137_MNBN,Sloatsburg
138,138_RARV,Somerville
139,139_NJCL,South Amboy
140,140_MNE,South Orange
141,141_NJCL,Spring Lake
142,142_PASC,Spring Valley
143,143_MNE,Stirling
144,144_MNBN,Suffern
145,145_MNE,Summit
146,146_PASC,Teterboro
147,147_BNTN,Towaco
148,148_NEC,Trenton Transit Center
149,149_MNBN,Tuxedo
38105,38105_RARV,Union
150,150_BNTN,Upper Montclair
151,151_MNBN,Waldwick
152,152_BNTN,Walnut Street
153,153_BNTN,Watchung Avenue
154,154_BNTN,Watsessing Avenue
39635,39635_BNTN,Wayne/Route 23 Transit Center
155,155_RARV,Westfield
156,156_PASC,Westwood
157,157_RARV,White House
160,160_PASC,Wood Ridge
158,158_NJCL,Woodbridge
159,159_PASC,Woodcliff Lake
37169,37169_NJCL,Aberdeen Matawan
2,2_ATLC,Absecon
3,3_MNBN,Allendale
4,4_NJCL,Allenhurst
5,5_PASC,Anderson Street
6,6_RARV,Annandale
8,8_NJCL,Asbury Park
9,9_ATLC,Atco
10,10_ATLC,Atlantic City
11,11_NJCL,Avenel
12,12_MNE,Basking Ridge
13,13_NJCL,Bay Head
14,14_BNTN,Bay Street
15,15_NJCL,Belmar
17,17_MNE,Berkeley Heights
18,18_MNE,Bernardsville
19,19_BNTN,Bloomfield
20,20_BNTN,Boonton
21,21_RARV,Bound Brook
22,22_NJCL,Bradley Beach
23,23_MNE,Brick Church
24,24_RARV,Bridgewater
25,25_MNBN,Broadway
26,26_MNBN,Campbell Hall
27,27_MNE,Chatham
28,28_ATLC,Cherry Hill
29,29_MNBN,Clifton
30,30_MNE,Convent Station
32,32_RARV,Cranford
33,33_MNBN,Delawanna
34,34_BNTN,Denville
35,35_BNTN,Dover
36,36_RARV,Dunellen
37,37_MNE,East Orange
38,38_NEC,Edison
39,39_ATLC,Egg Harbor City
40,40_NJCL,Elberon
41,41_NEC,Elizabeth
42,42_PASC,Emerson
43,43_PASC,Essex Street
44,44_RARV,Fanwood
45,45_MNE,Far Hills
46,46_MNBN,Garfield
47,47_RARV,Garwood
48,48_MNE,Gillette
49,49_MNE,Gladstone
50,50_BNTN,Glen Ridge
51,51_MNBN,Glen Rock Boro Hall
52,52_MNBN,Glen Rock Main Line
54,54_BNTN,Hackettstown
32905,32905_NEC,Hamilton
55,55_ATLC,Hammonton
57,57_MNBN,Harriman
58,58_MNBN,Hawthorne
59,59_NJCL,Hazlet
60,60_RARV,High Bridge
61,61_MNE,Highland Avenue
62,62_PASC,Hillsdale
64,64_MNBN,Ho-Ho-Kus
63,63_BNTN,Hoboken
32906,32906_NEC,Jersey Avenue
66,66_MNBN,Kingsland
67,67_BNTN,Lake Hopatcong
68,68_RARV,Lebanon
69,69_BNTN,Lincoln Park
70,70_NEC,Linden
71,71_ATLC,Lindenwold
72,72_BNTN,Little Falls
73,73_NJCL,Little Silver
74,74_NJCL,Long Branch
75,75_MNBN,Lyndhurst
76,76_MNE,Lyons
77,77_MNE,Madison
78,78_MNBN,Mahwah
79,79_NJCL,Manasquan
81,81_MNE,Maplewood
40570,40570_SL,Meadowlands Sports Complex
83,83_NEC,Metropark
84,84_NEC,Metuchen
85,85_NJCL,Middletown New Jersey
86,86_MNBN,Middletown New York
87,87_MNE,Millburn
88,88_MNE,Millington
31696,31696_NJCL,Monmouth Park
89,89_BNTN,Montclair Heights
38081,38081_BNTN,Montclair State University
90,90_PASC,Montvale
91,91_MNE,Morris Plains
92,92_MNE,Morristown
39472,39472_BNTN,Mount Arlington
93,93_BNTN,Mount Olive
94,94_MNE,Mount Tabor
95,95_BNTN,Mountain Avenue
96,96_BNTN,Mountain Lakes
97,97_MNE,Mountain Station
98,98_BNTN,Mountain View
99,99_MNE,Murray Hill
100,100_PASC,Nanuet
101,101_BNTN,Netcong
102,102_RARV,Netherwood
110,110_PASC,New Bridge Landing
103,103_NEC,New Brunswick
104,104_MNE,New Providence
105,105_BNTN,New York Penn Station
37953,37953_NEC,Newark Airport
106,106_BNTN,Newark Broad Street
107,107_NEC,Newark Penn Station
108,108_RARV,North Branch
109,109_NEC,North Elizabeth
111,111_PASC,Oradell
112,112_MNE,Orange
113,113_MNBN,Otisville
114,114_PASC,Park Ridge
115,115_MNBN,Passaic
116,116_MNBN,Paterson
117,117_MNE,Peapack
118,118_PASC,Pearl River
119,119_NJCL,Perth Amboy
1,1_ATLC,Philadelphia 30th Street
120,120_RARV,Plainfield
121,121_MNBN,Plauderville
122,122_NJCL,Point Pleasant Beach
123,123_MNBN,Port Jervis
124,124_PRIN,Princeton
125,125_NEC,Princeton Junction
126,126_MNBN,Radburn
127,127_NEC,Rahway
128,128_MNBN,Ramsey
38417,38417_MNBN,Ramsey Route 17
129,129_RARV,Raritan
130,130_NJCL,Red Bank
131,131_MNBN,Ridgewood
132,132_PASC,River Edge
31,31_RARV,Roselle Park
134,134_MNBN,Rutherford
135,135_MNBN,Salisbury Mills Cornwall
38174,38174_BNTN,Secaucus Junction
136,136_MNE,Short Hills
137,137_MNBN,Sloatsburg
138,138_RARV,Somerville
139,139_NJCL,South Amboy
140,140_MNE,South Orange
141,141_NJCL,Spring Lake
142,142_PASC,Spring Valley
143,143_MNE,Stirling
144,144_MNBN,Suffern
145,145_MNE,Summit
146,146_PASC,Teterboro
147,147_BNTN,Towaco
148,148_NEC,Trenton Transit Center
149,149_MNBN,Tuxedo
38105,38105_RARV,Union
150,150_BNTN,Upper Montclair
151,151_MNBN,Waldwick
152,152_BNTN,Walnut Street
153,153_BNTN,Watchung Avenue
154,154_BNTN,Watsessing Avenue
39635,39635_BNTN,Wayne/Route 23 Transit Center
155,155_RARV,Westfield
156,156_PASC,Westwood
157,157_RARV,White House
160,160_PASC,Wood Ridge
158,158_NJCL,Woodbridge
159,159_PASC,Woodcliff Lake
159,159_PASC,Woodcliff Lake